,name,country,region,state,varietal,price,description,merchant,address
10,Santa Silvana Pinot Grigio 2019,Italy,Alto Adige,Trentino-Alto Adige,Pinot Gris,$18.99,"Everyone loves a great value wine. Especially when it comes to Pinot Grigio, one of the top selling white wines in the United States. For years, our customers have been singing the praises of Santa Silvana, enough to make it our top selling Italian Pinot Grigio. Full of bright flavors and crisp acidity, the Santa Silvana highlights the fact that an excellent wine from Italy doesn't have to cost ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
11,Decoy Cabernet Sauvignon,United States,Napa County,California,Napa Valley,$21.99,"Duckhorn Wine Company is a collection of small winery estates focused on site-specific wines of distinction from the Napa and Anderson valleys. The Duckhorn Wine Company family includes Duckhorn Vineyards, Paraduxx, and Goldeneye. With grapes selected from eleven estate vineyards, as well as a variety of sought-after vineyard sites within the Napa and Anderson Valley appellations, each winery is ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
12,Frei Brothers Cabernet Sauvignon,United States,,California,Cabernet Sauvignon,$29.99,"Frei Brothers Reserve is a winemaking story more than a century in the making. In 1890, Swiss immigrant Andrew Frei purchased the core of what is now Frei Ranch in Sonoma County's Dry Creek Valley. The superb stretch of land was already a vineyard, but Frei brought it to prominence when he built a winery that produced 20,000 cases of wine annually by 1895. In 1903, Frei turned the winery over to ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
13,Bogle Vineyards Chardonnay,United States,Yolo County,California,Clarksburg,$11.99,"Chris Smith, Director of Winemaking at Bogle, graduated from California State University, Fresno with a degree in Enology. Chris spent four years on the winemaking staff at Jordan where he focused on traditional production techniques for both Chardonnay and Cabernet Sauvignon. Taking a position at Kendall-Jackson as an assistant winemaker, he was able to fine-tune methods for producing wines from ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
14,Kendall-Jackson Vintner's Reserve Chardonnay,United States,,California,Chardonnay,$16.99,"Jess Jackson of Kendall Jackson Winery takes great pride in being a family owned and operated business. He believed that, ""being a family-owned winery absolutely affects our winemaking. It affords us the luxury to take the long view. We can take risks and grow our grapes in mountain and hillside vineyards- even though it is more difficult for both the farmer and the vine. But grapes grown on ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
15,Decoy Pinot Noir,United States,,California,Pinot Noir,$21.99,,Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
16,Meiomi Pinot Noir,United States,,California,Pinot Noir,$29.99,"Meiomi (May-oh-mee) is a Pinot Noir, that gets its fruit from the most noteworthy coastal areas in California. The wine is crafted, lush, balanced and luxurious. Three of the California’s most sought after coastal growing regions brilliantly meld together in this deeply flavored, stylish and truly balanced Pinot Noir; at its most fundamental core, it is an approachable, food friendly wine with a ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
17,Woodbridge By Robert Mondavi Sauvignon Blanc,United States,,California,Sauvignon Blanc,$14.99,"Robert Mondavi felt confident that the Napa Valley and California could ultimately create wines that would stand shoulder to shoulder with the great wines of the world. He founded the iconic Robert Mondavi Winery in 1966 near Oakville, California; the first major winery to be built in the Napa Valley since Prohibition. 

After the outstanding success of his Napa Valley winery, Robert ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
18,Mcmanis Family Vineyards Cabernet Sauvignon,United States,,California,Cabernet Sauvignon,$11.99,"Family owned and operated since 1990 by Ron and Jamie McManis, McManis Family Vineyards now farms over 2,600 acres of premium wine grapes located throughout the Northern interior of California. Justin and Tanya McManis, the fifth generation of family farmers are very much involved in the day-to-day operations. The McManis family has been growing grapes in this region since 1938. 

With ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
19,Meiomi Chardonnay,United States,,California,Chardonnay,$19.99,"
The vineyards along Coastal California are a perfect combination of earth and elements, chosen specifically to contribute to each Meiomi wine and to represent the best of their appellation. By combining their exemplary qualities into a single wine, Meiomi achieves unforgettable balance, complexity, and richness of flavor. This approach of complementary blending achieves wines that are easy ... click for more details
Sku: 61101  
",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
20,Smythe & Renfield Malborough Sauvignon Blanc,New Zealand,,Marlborough,Sauvignon Blanc,$15.99,"Smythe & Renfield wines are a natural expression of the land from which they are created. The easy texture and drinkability with a rich array of vibrant fruit flavors are due to the abundant sunshine, high altitude, cool climate and long growing season of the Marlborough and Hawke's Bay regions of New Zealand.Concentrated and very intense, ripe yet brilliantly integrated flavors of grapefruit and ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
21,Zaccagnini Montepulciano d'Abruzzo Tralcetto,Italy,Montepulciano d'Abruzzo,Abruzzo,Montepulciano,$17.99,"Zaccagnini, is located in the sere, mountainous region of Abruzzo. about While Abruzzo doesn’t attract Hollywood celebrities fleeing the spotlight or even many average tourists⎯it has one claim to fame: Marcello Zaccagnini and his winemaker, Concezio Marulli, who are eliciting nectar from its rough hills. 

Marcello grew up as a farmer working in the vineyards owned by his father, ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
22,Alma de Los Andes Malbec Reserva,Argentina,,Abruzzo,Malbec,$22.99,"91 Points from James Suckling (listed at $27 a bottle) the Alma de los Andes Malbec Reserve 2016 is one of our top selling red wines. Sourced from estate vineyards in Lujan de Cuyo and the Uco Valley, these two sub-regions within Mendoza offer a perfect growing climate of warm days and cool nights. This phenomenon allows the grapes to achieve excellent fruit and tannin concentration, which is ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
23,Pronto Bella Pinot Grigio,Italy,,Abruzzo,Pinot Gris,$12.99,"Our best selling line of wines in this category! This fine family of wines have been revered as one of the best values on the market!  These wine will impress you with the quality so many consumers have grown to trust. Perfect for you next party!Delicate and elegant, with a crispy, dry nerve well balanced by aromas of ripe fruits like golden apple and tropical fruits....",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
24,Paxis Winemakers Selection Red 2018,Portugal,,Abruzzo,Pinot Gris,$13.99,"Founded by winemaking legend Jose Neiva Correia in 1998, DJF Vinhos is located in the Lisboa region which stretches north along the coast from the capital Lisbon. A simple philosophy with an ambitious aim: to transform the rich and diverse Portuguese varieties into top quality wines that are accessible to all. Quality and value for money are key, and the estate even employ two coopers! DJF is not ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
25,Woodbridge By Robert Mondavi Pinot Grigio,United States,,California,Pinot Gris,$16.99,"Robert Mondavi felt confident that the Napa Valley and California could ultimately create wines that would stand shoulder to shoulder with the great wines of the world. He founded the iconic Robert Mondavi Winery in 1966 near Oakville, California; the first major winery to be built in the Napa Valley since Prohibition. 

After the outstanding success of his Napa Valley winery, Robert ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
26,Bread & Butter Chardonnay,United States,,California,Chardonnay,$13.99,"Bread and butter are flavors and aromas that develop through the winemaking process either through the use of oak fermentation and aging or malolactic fermentation (MLF).  Both affect flavor, aroma, and texture in the finished wine.  As winemakers, these are our “bread & butter” techniques in the cellar - that which we depend on to craft great fruit into great wine.
Our goal is to ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
27,Santa Margherita Pinot Grigio Alto Adige,Italy,Alto Adige,Trentino-Alto Adige,Pinot Gris,$27.99,"The Santa Margherita trademark is a graphic stylization of the Renaissance drawing of Villa Marzotto at Portogruaro. It is the distinguishing mark for the labels of its famous wines. The splendid villa was built around 1540 in the historical center and today hosts the city cultural center.The wine boasts a fresh, clean fragrance that is followed by a crisp, refreshing flavor with hints of citrus ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
28,Justin Vineyard Cabernet Sauvignon,United States,San Luis Obispo,California,Paso Robles,$27.99,"Justin Winery is a family owned and operated winery making estate grown and produced wines. The property was founded in 1981 by Justin Baldwin when he planted the 160 acre property to the major Bordeaux varietals and created their Estate vineyard.
The winery is located in the Paso Robles appellation of California’s Central Coast. The region’s first grapes were planted in 1779 by ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
29,A To Z Pinot Noir,United States,,Oregon,Pinot Noir,$21.99,"Founded in 2002, A to Z Wineworks is Oregon's fastest growing winery. The business model is simple: to produce and market Oregon's best wine values by concentrating on their core competencies of acquisition, blending and marketing.
A to Z has a bargain with other wineries from whom they source wines that they will not reveal their identities; component wines could be from any winery in ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
30,Beringer Cabernet Sauvignon Knights Valley,United States,Sonoma County,California,Knights Valley,$27.99,"Jacob Beringer left his home in Germany, in 1868, for the sunny shores of California where the soil and climate was perfectly suited for growing wine grapes. In 1870, Napa Valley was his final destination where he bought land with his brother Frederick, in 1875, and they began producing wines that were on the same level as the first-class wines that Jacob had developed in Europe. Beringer Winery ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
31,Casa Santos Lab Red,Portugal,,Lisboa,Castelao,$8.99,"Produced by the venerable Casa Santos Lima wine estate located in the Alenquer county, 40km north of Lisbon, the most prestigious DOC appellation within the Lisboa (Estremadura) region. It's a big operation. The estate covers 280 ha, with 160 ha of vineyards, some not yet in production, and more than half of the vines here have been planted since 1990. Indeed, the first bottled wines from this ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
32,The Pinot Project Pinot Noir,United States,,California,Pinot Noir,$12.99,"
The Pinot Project began in 2009 with a vision: a wine for the palate, the pocket, and the people. Renowned wine importer Michael Skurnik called on his experiences in the vineyards and cellars of Northern California to craft a silky, fruit-forward, and harmonious Pinot Noir. Since then, The Pinot Project has taken the wine world by storm.


Mission accomplished! The Pinot Project ... click for more details
Sku: 53834  
",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
33,Joel Gott Cabernet Sauvignon,United States,,California,Cabernet Sauvignon,$17.99,"Napa scion Joel Gott was born to make wine. His grandfather was winemaker and president of Inglenook in the 1960s and 1970s while his father, Cary Gott, is the founder of Montevina and continues to consult for wineries such as D.R. Stephens. In addition to Joel's uncanny blending ability, he has privileged access to many of the best and as yet undiscovered fruit sources in the Napa Valley. Joel ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
34,Araucano Pinot Noir,Chile,,California,Pinot Noir,$14.99,"This long country stretching down alongside the Andes Cordillera mountains seems to be a true paradise for vines, with its particularly stable climate and, therefore, a very low risk of disease for the plants. It is notably thanks to these geographical factors that our Chilean vineyard was one of the first to be converted to a biodynamic culture.

François and Jacques Lurton found this ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
35,Simi Sauvignon Blanc,United States,Sonoma County,California,Sauvignon Blanc,$15.99,"Twenty-six years after his first harvest at Alexander Valley Vineyards, Steve Reeder returned to his winemaking roots, becoming Vice President of Winemaking for Simi Winery in August 2003. 

Reeder, an internationally recognized winemaker, has received wide acclaim throughout the wine industry for many varieties, especially the Bordeaux-varietal wines. Among his accomplishments was ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
36,Cloudy Bay Sauvignon Blanc,New Zealand,,Marlborough,Sauvignon Blanc,$32.99,"Cloudy Bay Vineyards, established in 1985, is today a partnership between champagne house Veuve Clicquot Ponsardin and co-founder of Cape Mentelle Vineyards in Western Australia, David Hohnen. Cloudy Bay is a specialist producer of premium wines and together with its sister winery, shares a commitment to 'wines of region'. Emphasis is placed on individual fruit character and the development of a ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
37,Whitehaven Sauvignon Blanc,New Zealand,,Marlborough,Sauvignon Blanc,$20.99,"Established in 1994 by Sue and Greg White and winemaker Simon Waghorn, Whitehaven Wine Company is a small, family-owned winery with big aspirations. Sourcing fruit from its own estates and from 12 joint venture or contract growers across Marlborough's Wairau and Awatere valleys, Whitehaven quickly established a reputation for producing quality wines. From modest beginnings, the Company now ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
38,La Crema Pinot Gris,United States,Monterey County,California,Pinot Gris,$19.99,"For more than 30 years, La Crema has explored California’s coastal appellations, a voyage of varietals that started here at our estate in the foggy vineyards of the Russian River Valley. On our journey, we have found exciting cool-climate vineyards north in the rugged hills of Mendocino, and south along the wind-swept slopes of Los Carneros. Most recently, our exploration has taken us to the wind-",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
39,La Crema Pinot Noir Sonoma Coast,United States,Sonoma County,California,Sonoma Coast,$25.99,"For more than 30 years, La Crema has explored California’s coastal appellations, a voyage of varietals that started here at our estate in the foggy vineyards of the Russian River Valley. On our journey, we have found exciting cool-climate vineyards north in the rugged hills of Mendocino, and south along the wind-swept slopes of Los Carneros. Most recently, our exploration has taken us to the wind-",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
40,Anjos Vinho Verde Rose,Portugal,,California,Sonoma Coast,$7.99,"
Quinta da Lixa – Soc. Agrícola, Lda. is a living testament to the passion that the Meireles family has always had for Vinho Verde. Active in several areas in the business world, this family, who already owned vineyards next to the small Vila da Lixa, decided in 1986 to create a small business, Soporvin-Sociedade Portuguesa de Vinhos.


Winemaker Carlos Teixeira produces some of the  click for more details
Sku: 70006  
",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
41,Vincente Pinot Grigio,Italy,,Veneto,Pinot Gris,$16.99,"The name means “to win” in Italian. It is the perfect name for this wine as it is a sure fire winner! Grown and produced in the proper place with the proper guidance this wine is absolutely stunning! You’d be hard pressed to find a better value than this! A real crowd pleaser!Light yellow in appearance, with an unobtrusive bouquet showcasing orchard fruit and citrus fruit notes. The palate boasts ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
42,Daou Cabernet Sauvignon,United States,,California,Cabernet Sauvignon,$29.99,"In the golden, oak-studded hills of Paso Robles’ fabled west side, not far from William Randolph Hearst’s magnificent castle, there is a man with a Homeric vision. His name is Daniel Daou and he is devoting his life and every imaginable resource to creating, first and foremost, a Cabernet Sauvignon that rivals the very best in the world.

Gracefully perched atop a stunning promontory at ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
43,Juggernaut Cabernet Sauvignon 2018,United States,,California,Cabernet Sauvignon,$19.99,"
Steep hillside vineyards present the ultimate challenge. Mountainous terrain tests both the grower and the vine.


But the results can be extraordinary.


Hillside vineyards have less access to water, with the rockier soil also holding fewer nutrients. These conditions stress the vines, resulting in the production of a fraction of the fruit of most vineyards. The harsh ... click for more details
Sku: 73404  
",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
44,Raeburn Chardonnay,United States,,California,Chardonnay,$19.99,"The name Raeburn, traces its origins to Olde English, and translates to ""the stream where one drinks."" The Russian River Valley is a unique sliver of the world that produces Chardonnay of class and distinction. At Raeburn we see a synergistic relationship between the land that yields beautiful Chardonnay fruit and its caretakers. We see our role as stewards of a distinct land that rewards us with ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
45,Apothic Red,United States,,California,",,Cabernet Sauvignon,Merlot,Syrah,Zinfandel",$12.99,"
Inspired by ""Apotheca,"" a mysterious place where wine was blended and stored in 13th century Europe, the wines of Apothic are truly unique in style and taste.


Our winemaker, Debbie Juergenson, crafts bold, captivating Apothic blends by using only the most distinctive California grapes. From vintage to vintage, the character and flavor of the individual varietals guide the shape ... click for more details
Sku: 50882  
",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
46,Leese Fitch Cabernet Sauvignon,United States,,California,Cabernet Sauvignon,$10.99,"The wines of Leese-Fitch celebrate the restoration of the Leese-Fitch building located in the Sonoma Square. Built in 1836, this historical landmark in Sonoma Plaza was named after Jacob Leese and Henry Fitch, brothers-in-law to General Mariano Vallejo, the founder of the town of Sonoma.Aromas of fresh roasted hazelnuts, espresso, cherry liquor, and black currants. In the mouth, this Cabernet ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
47,Louis Jadot Macon Villages,France,Maconnais,Burgundy,Macon Villages,$17.99,"From the start, Maison Louis Jadot has always accorded equal importance to each of Burgundy's appellations, from Grand Crus right through to regional wines. Our aim is to express the true nature of Burgundy through our wines, a terroir that can be both proud of its past and optimistic about its future.
In order to produce wines that celebrate their terroir, Jacques Lardière works with a ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
48,J. Lohr Cabernet Sauvignon Seven Oaks,United States,San Luis Obispo,California,Paso Robles,$17.99,"Three decades ago, the California Central Coast had yet to emerge as one of North America’s world-class winegrowing regions. With little history or viticultural precedent, planting on the Central Coast was a gamble. One of an early handful of pioneers, Jerry Lohr was among the first to realize the vast, untapped potential of this now-acclaimed region with the establishment of J. Lohr Vineyards & ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
49,Mark West Pinot Noir California,United States,,California,Pinot Noir,$13.99,"Alex Cose’s spent six years at Napa’s Peter Michael Winery under Mark Aubert working as production manager and oversaw the release of high-end Chardonnays costing up to $150 a bottle. Today, he makes wine for the Purple Wine Co. which produces Mark West Pinot Noir priced closer to $14. Cose’s background was in finance and he worked in the banking industry before a cellar rat job at Monticello ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
50,Cupcake Vineyards Pinot Grigio,Italy,Trentino,Trentino-Alto Adige,Pinot Gris,$12.99,"Cupcake Vineyards wines were introduced nationally in 2008 from California’s Central Coast and represented a finely crafted, fruit-forward, indulgent and eminently approachable style of wine. The inaugural release included Chardonnay, Merlot and Cabernet Sauvignon. Since then, Adam has used his global wine making experience and relationships around the world to add seven international wines to ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
51,La Crema Willamette Pinot Noir,United States,,Oregon,Pinot Noir,$32.99,"For more than 30 years, La Crema has explored California’s coastal appellations, a voyage of varietals that started here at our estate in the foggy vineyards of the Russian River Valley. On our journey, we have found exciting cool-climate vineyards north in the rugged hills of Mendocino, and south along the wind-swept slopes of Los Carneros. Most recently, our exploration has taken us to the wind-",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
52,Confidencial Reserva Red,Portugal,,Oregon,Red Portugese Blend,$13.99,"The epicenter of value wines is once again Portugal, with more ""Best Buy"" distinctions than France, Spain, South America and even the United States. For the price, these wines rarely disappoint. The Confidencial Reserva Red is made by Casa Santos Lima. Ranked #1 by Wine Spectator for ""Wineries for Value"" from Portugal, the Confidencial Reserva is a big step up in class. One of Portugal's most ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
53,Shelby Grant Napa Valley Chardonnay 2018,United States,Napa County,California,Napa Valley,$17.99,"Are you a fan of rich, full-flavored California Chardonnay like Cakebread & Rombauer, but don't want to pay $40 a bottle? Robert Parker says ""It’s hard to find value in Napa Valley, although great wines there are plentiful."" That's why we are so excited about our #1 selling Chardonnay: Shelby Grant! A true Garden of Eden, these diverse vineyards in Northern California are the perfect setting for ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
54,La Crema Chardonnay Sonoma Coast,United States,Sonoma County,California,Sonoma Coast,$22.99,"For more than 30 years, La Crema has explored California’s coastal appellations, a voyage of varietals that started here at our estate in the foggy vineyards of the Russian River Valley. On our journey, we have found exciting cool-climate vineyards north in the rugged hills of Mendocino, and south along the wind-swept slopes of Los Carneros. Most recently, our exploration has taken us to the wind-",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
55,Eradus Sauvignon Blanc 2019,New Zealand,,Marlborough,Sauvignon Blanc,$21.99,"Known for their lively, crisp and bright flavors, Marlborough is the mecca of modern style Sauvignon Blanc. The wine's easy texture with a rich array of vibrant fruit flavors are due to the abundant sunshine, high altitude, cool climate and long growing season in the vineyards. Their fresh flavored nature combined with lip smacking acidity, make them one of the best white wines of the world. 92 ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
56,Simi Chardonnay Sonoma County,United States,Sonoma County,California,Chardonnay,$17.99,"Twenty-six years after his first harvest at Alexander Valley Vineyards, Steve Reeder returned to his winemaking roots, becoming Vice President of Winemaking for Simi Winery in August 2003. 

Reeder, an internationally recognized winemaker, has received wide acclaim throughout the wine industry for many varieties, especially the Bordeaux-varietal wines. Among his accomplishments was ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
57,Antinori Villa Antinori Red Toscana,Italy,,Tuscany,Sangiovese,$21.99,"A Super Tuscan that needs little introduction, the 2015 vintage for Antinori's Villa Rosso could be the best ever...It's certainly the highest rating James Suckling has ever given! The term ""Super Tuscan,"" coined by Robert Parker in the 1970's is a fairly recent style in the long and illustrious history of wines made in Tuscany. The term describes red blends that are produced from grapes not ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
58,337 Cabernet Sauvignon,United States,Central Valley,California,Lodi,$13.99,"Over centuries, vintners have carefully singled out the most admired vines, naming each vine with a unique number to identify its exceptional attributes. Here in California, we've planted a selection of these vines exactly where they will flourish best: in select locations on the red soils and cobblestones of our family-owned vineyard in Lodi and on the gentle slopes of our cool-climate estate in ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
59,Duckhorn Sauvignon Blanc,United States,Napa County,California,Napa Valley,$29.99,"Duckhorn Wine Company is a collection of small winery estates focused on site-specific wines of distinction from the Napa and Anderson valleys. The Duckhorn Wine Company family includes Duckhorn Vineyards, Paraduxx, and Goldeneye. With grapes selected from eleven estate vineyards, as well as a variety of sought-after vineyard sites within the Napa and Anderson Valley appellations, each winery is ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
60,Woodbridge By Robert Mondavi Cabernet Sauvignon,United States,,California,Cabernet Sauvignon,$16.99,"Robert Mondavi felt confident that the Napa Valley and California could ultimately create wines that would stand shoulder to shoulder with the great wines of the world. He founded the iconic Robert Mondavi Winery in 1966 near Oakville, California; the first major winery to be built in the Napa Valley since Prohibition. 

After the outstanding success of his Napa Valley winery, Robert ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
61,Sierra Cantabria Crianza,Spain,,Rioja,Tempranillo,$19.99,"Founded by Guillermo Eguren, who is a self-made ""bodeguero"", coming from a family tradition of vine growers. Today, the fourth generation of the Eguren family, Marcos Eguren, is the winemaker and director of the winery. Sierra Cantabria has come to the forefront of Spanish wineries in the last 15 years. This is from the extreme care that they give to their vineyards, located in the best terrain ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
62,La Calonica Rosso di Montepulciano,Italy,,Tuscany,Montepulciano,$15.99,"The Agricultural Estate La Calonica was founded in 1973 by the Cattani family who still supervises directly its production and sales, and covers about 45 hectares on the border of the provinces of Siena and Arezzo, between the Municipalities of Montepulciano and Cortona on a crest at about 350 meters above sea level, not far from Lake Trasimeno. The wines produced fall under the production ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
63,Josh Chardonnay,United States,,California,Chardonnay,$16.99,"
Joseph Carr was an award winning Sommelier and international wine industry executive who set out on his own in 2005 and founded Joseph Carr Winery in Carneros, California. It was, as Mr. Carr says, a chance to follow a dream. ""We're a family owned company dedicated to making world class, handcrafted wines. We work with small growers, coopers and winemakers producing elegant, sophisticated, ... click for more details
Sku: 56944  
",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
